invoice_number,true_anomaly,anomaly_risk_score,predicted_anomaly,original_anomaly_type,original_explanation
INV7993622,0,0.0,0,UNKNOWN,UNKNOWN
INV7421517,0,0.0,0,UNKNOWN,UNKNOWN
INV8740290,0,0.0,0,UNKNOWN,UNKNOWN
INV3754220,0,0.0,0,UNKNOWN,UNKNOWN
INV9641087,0,0.0,0,UNKNOWN,UNKNOWN
INV9240637,0,0.0,0,UNKNOWN,UNKNOWN
INV6190836,0,0.0,0,UNKNOWN,UNKNOWN
INV4672248,0,0.0,0,UNKNOWN,UNKNOWN
INV3209029,0,0.0,0,UNKNOWN,UNKNOWN
INV7412506,0,0.0,0,UNKNOWN,UNKNOWN
INV6757506,0,0.0,0,UNKNOWN,UNKNOWN
INV3310644,0,0.0,0,UNKNOWN,UNKNOWN
INV6849287,0,0.0,0,UNKNOWN,UNKNOWN
INV8293005,0,0.0,0,UNKNOWN,UNKNOWN
INV4993142,0,0.0,0,UNKNOWN,UNKNOWN
INV2606354,0,0.0,0,UNKNOWN,UNKNOWN
INV4170835,0,0.0,0,UNKNOWN,UNKNOWN
INV8531533,0,0.0,0,UNKNOWN,UNKNOWN
INV4290085,0,0.0,0,UNKNOWN,UNKNOWN
INV3095106,0,0.0,0,UNKNOWN,UNKNOWN
INV7015628,0,0.0,0,UNKNOWN,UNKNOWN
INV9468305,0,0.0,0,UNKNOWN,UNKNOWN
INV3305426,0,0.0,0,UNKNOWN,UNKNOWN
INV2633613,0,0.0,0,UNKNOWN,UNKNOWN
INV4802010,0,0.0,0,UNKNOWN,UNKNOWN
INV1079149,0,0.0,0,UNKNOWN,UNKNOWN
INV6190836,0,0.0,0,UNKNOWN,UNKNOWN
INV7079439,0,0.0,0,UNKNOWN,UNKNOWN
INV4417739,0,0.0,0,UNKNOWN,UNKNOWN
INV4626090,0,0.0,0,UNKNOWN,UNKNOWN
INV8768504,0,0.0,0,UNKNOWN,UNKNOWN
INV7603009,0,0.0,0,UNKNOWN,UNKNOWN
INV4677656,0,0.0,0,UNKNOWN,UNKNOWN
INV5553409,0,0.0,0,UNKNOWN,UNKNOWN
INV1700047,0,0.0,0,UNKNOWN,UNKNOWN
INV5089154,0,0.0,0,UNKNOWN,UNKNOWN
INV1814068,0,0.0,0,UNKNOWN,UNKNOWN
INV3703434,0,0.0,0,UNKNOWN,UNKNOWN
INV9078130,0,0.0,0,UNKNOWN,UNKNOWN
INV2862368,0,0.0,0,UNKNOWN,UNKNOWN
INV2665851,0,0.0,0,UNKNOWN,UNKNOWN
INV5295199,0,0.0,0,UNKNOWN,UNKNOWN
INV3396110,0,0.0,0,UNKNOWN,UNKNOWN
INV1495645,0,0.0,0,UNKNOWN,UNKNOWN
INV4802200,0,0.0,0,UNKNOWN,UNKNOWN
INV6498572,0,0.0,0,UNKNOWN,UNKNOWN
INV1783952,0,0.0,0,UNKNOWN,UNKNOWN
INV2026142,0,0.0,0,UNKNOWN,UNKNOWN
INV9235877,0,0.0,0,UNKNOWN,UNKNOWN
INV7380668,0,0.0,0,UNKNOWN,UNKNOWN
